127.0.0.1 - - [27/Sep/2022:22:12:26 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [27/Sep/2022:22:12:27 +0900] "GET /HTML_CSS/test/list-1.html HTTP/1.1" 200 405
0:0:0:0:0:0:0:1 - - [27/Sep/2022:22:12:27 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [27/Sep/2022:22:23:39 +0900] "GET /HTML_CSS/test/list-3.html HTTP/1.1" 200 340
0:0:0:0:0:0:0:1 - - [27/Sep/2022:22:25:01 +0900] "GET /HTML_CSS/test/list-navi-result.html HTTP/1.1" 200 235
0:0:0:0:0:0:0:1 - - [27/Sep/2022:22:25:02 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [27/Sep/2022:22:30:02 +0900] "GET /HTML_CSS/test/list-navi-result.html HTTP/1.1" 200 424
0:0:0:0:0:0:0:1 - - [27/Sep/2022:22:39:55 +0900] "GET /HTML_CSS/test/border-1.html HTTP/1.1" 200 393
0:0:0:0:0:0:0:1 - - [27/Sep/2022:22:44:55 +0900] "GET /HTML_CSS/test/border-2.html HTTP/1.1" 200 481
0:0:0:0:0:0:0:1 - - [27/Sep/2022:22:45:10 +0900] "GET /HTML_CSS/test/border-2.html HTTP/1.1" 200 473
0:0:0:0:0:0:0:1 - - [27/Sep/2022:22:45:11 +0900] "GET /HTML_CSS/test/border-2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2022:22:45:11 +0900] "GET /HTML_CSS/test/border-2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2022:22:45:12 +0900] "GET /HTML_CSS/test/border-2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2022:22:45:12 +0900] "GET /HTML_CSS/test/border-2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2022:22:45:12 +0900] "GET /HTML_CSS/test/border-2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2022:22:45:12 +0900] "GET /HTML_CSS/test/border-2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2022:22:45:12 +0900] "GET /HTML_CSS/test/border-2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2022:22:45:13 +0900] "GET /HTML_CSS/test/border-2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2022:22:45:13 +0900] "GET /HTML_CSS/test/border-2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2022:22:45:13 +0900] "GET /HTML_CSS/test/border-2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2022:22:45:13 +0900] "GET /HTML_CSS/test/border-2.html HTTP/1.1" 304 -
